年度,醫事機構代碼,院所名稱,特約類別,人工膝關節置換後90天內發生手術傷口感染之案件數,人工膝關節置換案件數,人工膝關節置換病人數,傷口感染率,人工膝關節置換醫師數,病患平均年齡,病患重大傷病比率,分母重大傷病人數,縣市別,鄉鎮別
2017年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,40.0000,39,0%,4,69.7179,15.38%,6,10009,10009030
2018年上半年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,14.0000,14,0%,4,69.9285,28.57%,4,10009,10009030
2018年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,39.0000,37,0%,4,70.9189,16.22%,6,10009,10009030
2019年上半年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,39.0000,36,0%,3,70.4166,16.67%,6,10009,10009030
2019年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,63.0000,59,0%,3,70.9322,15.25%,9,10009,10009030
2020年上半年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,1.0000,28.0000,26,3.57%,3,71.6923,7.69%,2,10009,10009030
2020年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,1.0000,55.0000,53,1.82%,3,72.1132,3.77%,2,10009,10009030
2021年上半年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,13.0000,13,0%,2,71.0000,7.69%,1,10009,10009030
2021年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,38.0000,37,0%,2,72.8648,8.11%,3,10009,10009030
2022年上半年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,23.0000,23,0%,2,72.7391,13.04%,3,10009,10009030
2022年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,46.0000,45,0%,3,73.9333,13.33%,6,10009,10009030
2023年上半年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,31.0000,30,0%,4,73.3666,13.33%,4,10009,10009030
2023年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,64.0000,60,0%,4,72.5833,11.67%,7,10009,10009030
2024年上半年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,37.0000,37,0%,3,71.4864,0%,0,10009,10009030
2024年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,1.0000,76.0000,74,1.32%,3,71.9054,8.11%,6,10009,10009030
2025年上半年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0.0000,35.0000,34,0%,3,72.4705,2.94%,1,10009,10009030
2006年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0,8,6,0%,3,71.5,0%,0,10009,10009030
2007年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0,3,3,0%,2,79.6666,0%,0,10009,10009030
2008年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0,10,10,0%,2,70.3,0%,0,10009,10009030
2009年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0,16,15,0%,3,68.2666,6.66%,1,10009,10009030
2010年全年度,1139030015,天主教若瑟醫療財團法人若瑟醫院,3,0,20,18,0%,4,71.7777,11.11%,2,10009,10009030
2011年上半年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0,4,4,0%,3,70.75,0%,0,10009,10009040
2011年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0,7,7,0%,4,72.7142,0%,0,10009,10009040
2012年上半年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0,9,9,0%,2,68.8888,0%,0,10009,10009040
2012年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0,15,14,0%,2,68.7142,0%,0,10009,10009040
2013年上半年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0,11,11,0%,3,78,18.18%,2,10009,10009040
2013年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0,20,20,0%,3,74.4,10%,2,10009,10009040
2014年上半年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0,9,9,0%,4,64.3333,11.11%,1,10009,10009040
2014年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,17.0000,16,0%,4,65.6875,12.5%,2,10009,10009040
2015年上半年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,9.0000,9,0%,3,68.7777,0%,0,10009,10009040
2015年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,15.0000,14,0%,3,71.6428,0%,0,10009,10009040
2016年上半年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,5.0000,5,0%,1,77.4000,0%,0,10009,10009040
2016年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,12.0000,12,0%,2,73.8333,8.33%,1,10009,10009040
2017年上半年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,9.0000,9,0%,2,73.7777,0%,0,10009,10009040
2017年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,19.0000,18,0%,3,72.5000,5.56%,1,10009,10009040
2018年上半年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,11.0000,11,0%,4,70.3636,18.18%,2,10009,10009040
2018年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,25.0000,24,0%,4,71.9166,25%,6,10009,10009040
2019年上半年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,26.0000,25,0%,3,71.3600,20%,5,10009,10009040
2019年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,56.0000,51,0%,4,72.6078,17.65%,9,10009,10009040
2020年上半年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,7.0000,7,0%,1,74.2857,14.29%,1,10009,10009040
2020年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,22.0000,22,0%,5,71.8181,18.18%,4,10009,10009040
2021年上半年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,1.0000,16.0000,16,6.25%,2,72.8125,18.75%,3,10009,10009040
2021年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,1.0000,36.0000,35,2.78%,4,70.5142,22.86%,8,10009,10009040
2022年上半年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,11.0000,11,0%,3,75.6363,9.09%,1,10009,10009040
2022年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,28.0000,28,0%,3,74.3214,10.71%,3,10009,10009040
2023年上半年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,21.0000,21,0%,3,76.6190,19.05%,4,10009,10009040
2023年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,41.0000,39,0%,4,73.4102,20.51%,8,10009,10009040
2024年上半年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,24.0000,24,0%,3,71.6250,16.67%,4,10009,10009040
2024年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,59.0000,55,0%,4,71.1818,20%,11,10009,10009040
2025年上半年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0.0000,33.0000,32,0%,4,72.0312,15.63%,5,10009,10009040
2009年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0,4,4,0%,1,73.25,0%,0,10009,10009040
2010年全年度,1139040011,彰化基督教醫療財團法人雲林基督教醫院,3,0,5,5,0%,2,73.8,20%,1,10009,10009040
2013年上半年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0,1,1,0%,1,49,100%,1,10009,10009130
2013年全年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,1,3,2,33.33%,1,60,50%,1,10009,10009130
2014年上半年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0,1,1,0%,1,75,100%,1,10009,10009130
2014年全年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,4.0000,4,0%,2,72.2500,25%,1,10009,10009130
2015年上半年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,1.0000,1,0%,1,73.0000,0%,0,10009,10009130
2015年全年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,5.0000,5,0%,3,71.0000,0%,0,10009,10009130
2016年上半年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,4.0000,4,0%,1,65.0000,0%,0,10009,10009130
2016年全年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,5.0000,5,0%,1,66.2000,0%,0,10009,10009130
2017年上半年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,6.0000,6,0%,1,69.1666,0%,0,10009,10009130
2017年全年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,14.0000,14,0%,1,71.7142,0%,0,10009,10009130
2018年上半年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,8.0000,8,0%,1,71.3750,12.5%,1,10009,10009130
2018年全年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,11.0000,11,0%,1,72.1818,9.09%,1,10009,10009130
2019年上半年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,11.0000,10,0%,2,71.6000,10%,1,10009,10009130
2019年全年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,22.0000,20,0%,2,72.5000,10%,2,10009,10009130
2020年上半年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,7.0000,7,0%,1,73.0000,14.29%,1,10009,10009130
2020年全年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,20.0000,18,0%,1,71.0555,11.11%,2,10009,10009130
2021年上半年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,8.0000,7,0%,2,69.0000,14.29%,1,10009,10009130
2021年全年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,18.0000,17,0%,2,70.5294,11.76%,2,10009,10009130
2022年上半年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,11.0000,10,0%,3,68.8000,10%,1,10009,10009130
2022年全年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,20.0000,19,0%,3,70.4736,15.79%,3,10009,10009130
2023年上半年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,17.0000,17,0%,1,71.1764,23.53%,4,10009,10009130
2023年全年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,36.0000,34,0%,3,71.8235,17.65%,6,10009,10009130
2024年上半年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,13.0000,13,0%,2,72.3076,7.69%,1,10009,10009130
2024年全年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,29.0000,28,0%,3,73.1071,10.71%,3,10009,10009130
2025年上半年度,1139130010,長庚醫療財團法人雲林長庚紀念醫院,3,0.0000,15.0000,15,0%,2,73.8000,13.33%,2,10009,10009130
2011年上半年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,0,135,133,0%,10,70.0977,15.03%,20,10010,10010020
2011年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,1,278,263,0.35%,11,70.0494,12.16%,32,10010,10010020
2012年上半年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,2,138,136,1.44%,10,71.0514,10.29%,14,10010,10010020
2012年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,3,322,298,0.93%,11,70.8691,11.41%,34,10010,10010020
2013年上半年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,1,114,113,0.88%,14,69.4247,9.73%,11,10010,10010020
2013年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,3,255,247,1.18%,16,69.6153,11.74%,29,10010,10010020
2014年上半年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,2,143,141,1.40%,16,70.3687,16.31%,23,10010,10010020
2014年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,3.0000,277.0000,263,1.08%,19,70.0950,15.59%,41,10010,10010020
2015年上半年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,0.0000,138.0000,134,0%,13,72.2164,14.18%,19,10010,10010020
2015年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,2.0000,319.0000,299,0.63%,15,71.2240,12.71%,38,10010,10010020
2016年上半年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,0.0000,135.0000,134,0%,12,71.8283,11.94%,16,10010,10010020
2016年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,3.0000,334.0000,317,0.9%,14,71.1041,12.62%,40,10010,10010020
2017年上半年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,3.0000,210.0000,205,1.43%,14,70.3658,12.2%,25,10010,10010020
2017年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,4.0000,405.0000,380,0.99%,18,70.5763,13.42%,51,10010,10010020
2018年上半年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,0.0000,215.0000,209,0%,13,71.5215,13.4%,28,10010,10010020
2018年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,1.0000,494.0000,459,0.2%,15,71.5708,13.51%,62,10010,10010020
2019年上半年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,1.0000,253.0000,246,0.4%,15,71.8455,12.6%,31,10010,10010020
2019年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,3.0000,540.0000,513,0.56%,16,72.1306,14.62%,75,10010,10010020
2020年上半年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,1.0000,158.0000,155,0.63%,12,71.5870,19.35%,30,10010,10010020
2020年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,1.0000,409.0000,390,0.24%,15,71.5282,15.38%,60,10010,10010020
2021年上半年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,0.0000,250.0000,243,0%,16,72.0617,16.46%,40,10010,10010020
2021年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,0.0000,483.0000,460,0%,16,71.7086,16.52%,76,10010,10010020
2022年上半年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,0.0000,197.0000,190,0%,13,71.9473,18.42%,35,10010,10010020
2022年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,0.0000,405.0000,380,0%,16,72.1131,18.42%,70,10010,10010020
2023年上半年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,2.0000,233.0000,227,.86%,16,71.8149,16.3%,37,10010,10010020
2023年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,3.0000,477.0000,454,.63%,17,71.7312,17.18%,78,10010,10010020
2024年上半年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,2.0000,264.0000,260,.76%,15,72.2000,13.46%,35,10010,10010020
2024年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,4.0000,532.0000,505,.75%,15,71.7801,15.25%,77,10010,10010020
2025年上半年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,0.0000,262.0000,251,0%,16,71.5577,16.73%,42,10010,10010020
2006年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,2,159,145,1.25%,9,68.0827,7.58%,11,10010,10010020
2007年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,3,191,178,1.57%,10,69.6573,7.30%,13,10010,10010020
2008年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,1,229,208,0.43%,9,69.4855,11.05%,23,10010,10010020
2009年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,1,210,200,0.47%,13,70.17,8%,16,10010,10010020
2010年全年度,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,2,2,208,193,0.96%,11,69.7305,8.29%,16,10010,10010020
2014年上半年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,1,172,169,0.58%,9,71.2071,11.83%,20,10010,10010040
2014年全年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,3.0000,347.0000,324,0.86%,9,71.2839,9.26%,30,10010,10010040
2015年上半年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,4.0000,195.0000,191,2.05%,10,70.5287,8.9%,17,10010,10010040
2015年全年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,5.0000,360.0000,337,1.39%,10,70.9673,8.9%,30,10010,10010040
2016年上半年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,0.0000,165.0000,163,0%,8,71.6196,12.27%,20,10010,10010040
2016年全年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,0.0000,332.0000,310,0%,11,71.4709,13.23%,41,10010,10010040
2017年上半年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,2.0000,160.0000,158,1.25%,10,69.9367,13.29%,21,10010,10010040
2017年全年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,5.0000,360.0000,340,1.39%,11,69.7911,10.29%,35,10010,10010040
2018年上半年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,1.0000,189.0000,183,0.53%,9,71.4262,13.66%,25,10010,10010040
2018年全年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,1.0000,427.0000,407,0.23%,11,70.9312,10.81%,44,10010,10010040
2019年上半年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,0.0000,216.0000,212,0%,11,71.7358,13.68%,29,10010,10010040
2019年全年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,1.0000,454.0000,433,0.22%,12,71.9122,14.09%,61,10010,10010040
2020年上半年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,0.0000,162.0000,159,0%,9,72.6918,16.35%,26,10010,10010040
2020年全年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,3.0000,422.0000,397,0.71%,11,71.8639,13.85%,55,10010,10010040
2021年上半年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,1.0000,212.0000,209,0.47%,10,72.7224,11.48%,24,10010,10010040
2021年全年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,1.0000,459.0000,430,0.22%,11,71.9930,12.33%,53,10010,10010040
2022年上半年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,1.0000,191.0000,182,0.52%,12,70.1978,15.38%,28,10010,10010040
2022年全年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,3.0000,431.0000,406,0.7%,14,71.3620,12.32%,50,10010,10010040
2023年上半年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,3.0000,242.0000,234,1.24%,12,72.6666,11.97%,28,10010,10010040
2023年全年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,3.0000,506.0000,474,.59%,15,72.1455,14.14%,67,10010,10010040
2024年上半年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,1.0000,314.0000,311,.32%,13,71.6688,18.65%,58,10010,10010040
2024年全年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,3.0000,594.0000,568,.51%,14,71.6725,16.2%,92,10010,10010040
2025年上半年度,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,2,0.0000,342.0000,335,0%,15,71.3104,11.64%,39,10010,10010040
2011年上半年度,1141090512,奇美醫療財團法人柳營奇美醫院,2,0,15,15,0%,3,70.8666,13.33%,2,10021,67000040
2011年全年度,1141090512,奇美醫療財團法人柳營奇美醫院,2,0,45,41,0%,3,71.8292,17.07%,7,10021,67000040
2012年上半年度,1141090512,奇美醫療財團法人柳營奇美醫院,2,0,30,29,0%,3,71.1034,13.79%,4,10021,67000040
2012年全年度,1141090512,奇美醫療財團法人柳營奇美醫院,2,1,57,54,1.75%,3,71.3518,16.67%,9,10021,67000040
2013年上半年度,1141090512,奇美醫療財團法人柳營奇美醫院,2,0,29,28,0%,4,71.8928,17.86%,5,10021,67000040
2013年全年度,1141090512,奇美醫療財團法人柳營奇美醫院,2,1,59,57,1.69%,5,71.1929,19.30%,11,10021,67000040
2014年上半年度,1141090512,奇美醫療財團法人柳營奇美醫院,2,0,23,22,0%,5,69.909,9.09%,2,10021,67000040
